name,lat,lon,alt_km
NORAD-515,-46.7915,-143.5076,1565.1
NORAD-516,57.0473,96.1427,897.0
NORAD-530,34.4171,-108.5597,925.6
NORAD-537,-65.4505,-83.4816,901.6
NORAD-538,64.2284,-13.3302,680.4
NORAD-541,66.7678,31.0847,1000.9
NORAD-543,-11.6355,39.8610,961.3
NORAD-544,-28.0028,-35.6761,947.7
NORAD-545,-64.3462,66.3245,1080.2
NORAD-548,-28.0121,38.4186,677.2
NORAD-549,-50.6935,20.2820,1090.2
NORAD-552,67.6944,53.7089,931.1
NORAD-553,-10.6817,80.9999,28696.8
NORAD-558,-9.4417,68.1902,1370.8
NORAD-559,46.9394,-142.1328,654.4
NORAD-560,33.4045,-179.2797,1106.1
NORAD-561,-43.5889,100.1180,1197.4
NORAD-573,8.7641,-64.5550,10527.6
NORAD-574,35.2817,-21.6960,3629.6
NORAD-575,38.8925,-72.5836,10768.9
NORAD-589,36.3780,156.9162,3674.5
NORAD-602,13.3677,-26.5545,3647.0
NORAD-608,55.0646,161.5671,3644.0
NORAD-622,88.3402,-73.1053,3682.2
NORAD-628,-32.8478,-10.6006,3670.0
NORAD-629,-78.7004,142.4298,3635.1
NORAD-630,87.1401,-44.1901,3716.4
NORAD-631,-43.1321,4.1129,3878.3
NORAD-634,10.2790,68.4329,35771.7
NORAD-643,-66.1367,-129.0098,1238.5
NORAD-644,-67.0312,121.7386,1141.1
NORAD-645,-66.1567,37.6863,1513.7
NORAD-648,58.0177,73.6360,1068.5
NORAD-649,44.9967,-117.2165,1439.5
NORAD-652,-47.5455,-140.5324,852.8
NORAD-653,7.2005,-102.7858,1101.7
NORAD-655,13.0038,-28.2076,1435.9
NORAD-656,14.8985,-65.5684,1054.1
NORAD-657,23.9370,82.1605,1418.3
NORAD-658,-58.0244,-2.1453,1097.5
NORAD-659,-66.0101,-89.5914,958.0
NORAD-660,-50.9020,-86.9817,503.7
NORAD-669,-32.3689,120.8027,1119.5
NORAD-670,36.1534,119.4499,1126.6
NORAD-671,-48.0331,119.6338,1087.0
NORAD-672,41.0515,122.5883,1018.8
NORAD-694,-29.7537,88.9193,1245.8
NORAD-698,28.2554,-83.6319,1180.5
NORAD-700,30.4219,-34.3752,1644.3
NORAD-701,-2.6571,125.7313,789.0
NORAD-702,-74.9631,-15.8478,3718.2
NORAD-703,44.1103,36.7704,1085.6
NORAD-704,-16.8658,36.8918,1105.3
NORAD-705,56.6294,37.0025,1097.1
NORAD-706,-52.1321,-140.3865,1072.7
NORAD-715,-64.4873,43.7758,1014.4
NORAD-716,-1.4562,94.5082,665.2
NORAD-720,14.7020,19.2977,702.0
NORAD-721,-28.1822,-120.0456,2160.9
NORAD-727,69.0129,-47.2571,908.3
NORAD-728,-21.8466,109.9005,903.4
NORAD-729,63.3789,-19.1511,907.7
NORAD-730,-3.1896,-169.3698,907.2
NORAD-731,34.8505,-163.2745,904.3
NORAD-732,59.0005,179.6506,733.2
NORAD-733,-42.6324,-172.5138,779.9
NORAD-734,-42.5467,-98.4909,809.9
NORAD-735,15.2766,81.9080,812.9
NORAD-737,-1.8746,106.9347,6306.5
NORAD-738,-44.6968,-176.5018,6815.0
NORAD-739,8.7926,97.1066,838.3
NORAD-741,62.9890,-87.3526,1134.2
NORAD-742,75.0390,35.5827,1035.6
NORAD-743,-53.6068,-56.1810,1108.6
NORAD-745,0.9262,122.7356,1051.8
NORAD-746,-59.7588,15.1752,615.4
NORAD-750,24.3324,-95.1087,659.9
NORAD-753,-53.0156,-140.6923,1073.4
NORAD-801,-86.1190,162.5892,822.6
NORAD-805,-5.8595,-64.8999,790.6
NORAD-809,-63.0652,-35.1570,879.3
NORAD-812,73.2892,172.3469,808.9
NORAD-813,9.5225,136.1930,819.5
NORAD-815,32.5165,105.9409,809.3
NORAD-829,-57.5231,15.5798,2911.3
NORAD-831,-7.6325,-82.4493,2124.2
NORAD-836,-13.0393,-85.4455,67068.5
NORAD-837,48.3111,-173.0336,154448.7
NORAD-858,6.1257,91.1432,35758.6
NORAD-862,16.0779,40.0847,3870.1
NORAD-870,-5.5770,40.1744,874.5
NORAD-871,-2.5180,-171.7010,913.2
NORAD-876,50.7192,-104.1742,778.5
NORAD-877,39.0381,-42.3418,741.1
NORAD-893,37.1710,-137.3973,1034.1
NORAD-897,47.6139,42.4989,1053.1
NORAD-899,34.6478,-119.9262,870.3
NORAD-900,18.9995,38.9256,999.6
NORAD-901,-67.0179,44.2407,1076.0
NORAD-902,58.0558,42.6601,1064.1
NORAD-903,89.0332,-128.2560,949.7
NORAD-907,13.8856,-72.8019,943.7
NORAD-932,-14.9986,-35.7510,1918.9
NORAD-933,-42.3144,-74.2520,1077.1
NORAD-953,64.6250,159.8109,1027.7
NORAD-956,-72.5208,-44.3137,1015.8
NORAD-959,54.8893,-25.9698,1036.3
NORAD-965,68.0413,-9.9149,1048.6
NORAD-967,-17.9612,-39.6333,1030.7
